latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.17464,179.0,-25200,America/Los_Angeles,GMT-7

time,temperature_2m_mean (°C),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
2006-10-03,10.3,23382.36,0.00,0.00,0.00,11.8
2006-10-04,11.8,40233.21,0.00,0.00,0.00,16.7
2006-10-05,12.3,38208.59,0.00,0.00,0.00,9.8
2006-10-06,10.9,19046.16,0.00,0.00,0.00,9.2
2006-10-07,9.6,33316.61,0.00,0.00,0.00,8.4
2006-10-08,10.4,13788.18,0.00,0.00,0.00,10.4
2006-10-09,10.3,38981.41,0.00,0.00,0.00,17.4
2006-10-10,10.1,38046.96,0.00,0.00,0.00,8.4
2006-10-11,11.1,37805.30,0.00,0.00,0.00,6.8
2006-10-12,11.8,37213.27,0.00,0.00,0.00,6.6
2006-10-13,11.7,36967.66,0.00,0.00,0.00,8.4
2006-10-14,10.7,26031.27,0.40,0.40,0.00,13.5
2006-10-15,9.4,7303.33,19.20,19.20,0.00,18.5
2006-10-16,9.5,20604.69,3.80,3.80,0.00,12.6
2006-10-17,9.9,33209.17,0.00,0.00,0.00,8.2
2006-10-18,9.5,1462.93,4.60,4.60,0.00,16.8
2006-10-19,11.0,7570.71,18.20,18.20,0.00,15.2
2006-10-20,8.9,33559.55,0.00,0.00,0.00,10.5
2006-10-21,8.2,36000.00,0.00,0.00,0.00,15.4
2006-10-22,9.3,36000.00,0.00,0.00,0.00,10.8
2006-10-23,8.0,30054.85,0.00,0.00,0.00,7.7
2006-10-24,7.5,31339.31,11.60,11.60,0.00,20.9
2006-10-25,7.4,29236.45,0.00,0.00,0.00,15.7
2006-10-26,9.6,11782.96,2.30,2.30,0.00,20.9
2006-10-27,11.0,11488.17,2.60,2.60,0.00,16.7
2006-10-28,9.5,24808.33,0.00,0.00,0.00,14.4
2006-10-29,7.4,35426.27,10.40,10.40,0.00,21.8
2006-10-30,2.9,35328.53,0.00,0.00,0.00,14.2
2006-10-31,1.6,35232.80,0.00,0.00,0.00,13.5
2006-11-01,2.9,34410.52,0.00,0.00,0.00,14.7
2006-11-02,4.5,0.00,15.80,15.80,0.00,16.5
2006-11-03,10.7,921.64,15.90,15.90,0.00,32.1
2006-11-04,11.0,0.00,26.70,26.70,0.00,34.5
2006-11-05,11.1,11014.76,19.90,19.90,0.00,26.2
2006-11-06,13.3,0.00,55.60,55.60,0.00,34.5
2006-11-07,11.0,4303.78,32.80,32.80,0.00,22.3
2006-11-08,7.2,25688.99,11.40,11.40,0.00,14.5
2006-11-09,5.9,30062.64,5.90,5.90,0.00,16.5
2006-11-10,5.7,0.00,27.50,27.50,0.00,27.4
2006-11-11,6.0,22563.86,2.60,2.60,0.00,21.7
2006-11-12,6.3,0.00,18.90,18.90,0.00,31.0
2006-11-13,5.3,0.00,15.80,15.80,0.00,23.1
2006-11-14,5.7,22491.14,0.20,0.20,0.00,19.9
2006-11-15,7.7,0.00,22.90,22.90,0.00,40.8
2006-11-16,5.2,30022.32,1.70,1.70,0.00,19.4
2006-11-17,7.2,21778.17,0.00,0.00,0.00,16.3
2006-11-18,7.8,25200.00,0.00,0.00,0.00,18.5
2006-11-19,7.8,0.00,13.50,13.50,0.00,27.4
2006-11-20,7.1,21821.23,4.20,4.20,0.00,26.0
2006-11-21,5.5,22568.88,18.00,18.00,0.00,32.7
2006-11-22,4.7,2737.44,6.20,6.20,0.00,25.7
2006-11-23,3.8,1031.17,8.80,8.80,0.00,31.3
2006-11-24,3.3,24780.43,1.40,1.40,0.00,21.1
2006-11-25,1.5,26163.78,6.60,3.40,2.24,20.8
2006-11-26,1.0,4161.73,21.60,9.10,8.75,16.9
2006-11-27,-0.7,27317.07,5.10,2.20,2.03,25.3
2006-11-28,-5.5,26908.68,0.30,0.00,0.35,19.5
2006-11-29,-4.7,0.00,2.00,0.80,1.05,23.3
2006-11-30,2.0,12080.51,6.50,5.20,0.91,27.5
2006-12-01,1.6,8737.51,0.50,0.50,0.00,10.2
2006-12-02,-0.1,28800.00,0.00,0.00,0.00,9.0
2006-12-03,0.4,25180.39,0.00,0.00,0.00,11.8
2006-12-04,4.3,3387.56,0.90,0.90,0.00,19.6
2006-12-05,4.7,19905.57,0.00,0.00,0.00,7.8
2006-12-06,3.7,21555.31,0.00,0.00,0.00,9.8
2006-12-07,5.0,8420.10,0.00,0.00,0.00,14.7
2006-12-08,5.3,0.00,0.00,0.00,0.00,13.6
2006-12-09,4.4,6429.00,4.90,4.90,0.00,25.5
2006-12-10,4.7,4196.92,5.60,5.60,0.00,23.1
2006-12-11,6.3,5723.96,27.80,27.80,0.00,30.7
2006-12-12,5.8,22510.14,8.70,8.70,0.00,38.0
2006-12-13,6.4,21556.23,11.00,11.00,0.00,33.3
2006-12-14,5.2,0.00,47.90,47.90,0.00,40.4
2006-12-15,3.4,27366.61,5.30,5.30,0.00,48.9
2006-12-16,0.5,1465.66,0.00,0.00,0.00,14.5
2006-12-17,0.2,28800.00,0.00,0.00,0.00,13.7
2006-12-18,0.5,15153.51,0.00,0.00,0.00,18.6
2006-12-19,2.8,0.00,2.90,2.90,0.00,19.0
2006-12-20,2.5,1318.83,7.00,7.00,0.00,22.5
2006-12-21,4.8,23795.94,9.80,9.80,0.00,28.2
2006-12-22,3.1,19730.71,0.00,0.00,0.00,15.0
2006-12-23,2.6,10631.06,14.20,6.40,5.46,15.8
2006-12-24,2.7,0.00,20.30,20.30,0.00,27.7
2006-12-25,4.8,23821.04,2.90,2.90,0.00,22.7
2006-12-26,2.2,0.00,12.00,11.60,0.28,15.1
2006-12-27,1.8,28646.40,9.80,6.20,2.52,18.7
2006-12-28,-0.5,28633.33,0.00,0.00,0.00,8.4
2006-12-29,1.0,18625.23,0.80,0.80,0.00,19.5
2006-12-30,0.6,25759.59,0.00,0.00,0.00,9.6
2006-12-31,1.5,21600.00,0.00,0.00,0.00,10.0
2007-01-01,3.5,0.00,8.90,8.90,0.00,26.6
2007-01-02,7.9,0.00,41.80,41.80,0.00,37.5
2007-01-03,5.6,18529.07,10.90,10.90,0.00,17.1
2007-01-04,1.8,22436.09,7.50,7.30,0.14,14.9
2007-01-05,1.4,0.00,21.00,20.70,0.21,39.3
2007-01-06,3.0,15542.24,5.20,5.20,0.00,30.4
2007-01-07,5.6,0.00,30.50,30.50,0.00,32.0
2007-01-08,4.1,8609.79,0.30,0.30,0.00,21.3
2007-01-09,5.9,6336.32,5.50,5.10,0.28,35.7
2007-01-10,-0.2,24603.51,3.70,1.60,1.47,22.2
2007-01-11,-3.3,30704.19,1.10,0.40,0.49,17.2
2007-01-12,-4.6,29850.05,0.00,0.00,0.00,7.2
2007-01-13,-3.8,21174.68,0.00,0.00,0.00,9.0
2007-01-14,-4.0,31027.78,0.00,0.00,0.00,9.8
2007-01-15,-3.0,28884.71,0.00,0.00,0.00,14.8
2007-01-16,-0.6,11711.00,2.90,0.00,2.10,18.2
2007-01-17,0.8,7720.24,0.90,0.90,0.00,13.4
2007-01-18,1.8,1577.29,8.20,8.00,0.14,21.5
2007-01-19,3.3,1518.05,4.80,4.80,0.00,20.7
2007-01-20,2.7,30285.98,1.90,1.90,0.00,19.0
2007-01-21,2.6,4398.61,0.20,0.20,0.00,14.7
2007-01-22,5.4,3600.00,4.70,4.70,0.00,22.0
2007-01-23,6.5,21017.50,1.80,1.80,0.00,17.6
2007-01-24,4.6,31779.88,0.00,0.00,0.00,15.1
2007-01-25,4.1,28070.22,0.00,0.00,0.00,14.6
2007-01-26,2.6,32075.68,0.00,0.00,0.00,13.4
2007-01-27,1.8,32169.06,0.00,0.00,0.00,9.4
2007-01-28,0.9,32263.25,0.00,0.00,0.00,8.7
2007-01-29,0.4,32358.11,0.00,0.00,0.00,9.1
2007-01-30,0.8,32400.00,0.00,0.00,0.00,10.4
2007-01-31,0.8,32400.00,0.00,0.00,0.00,10.5
2007-02-01,0.6,32590.87,0.00,0.00,0.00,9.1
2007-02-02,0.3,32400.00,0.00,0.00,0.00,8.0
2007-02-03,1.1,0.00,4.10,4.10,0.00,13.2
2007-02-04,4.7,11590.71,2.10,2.10,0.00,9.4
2007-02-05,4.5,17542.27,0.00,0.00,0.00,8.6
2007-02-06,6.0,25064.51,0.10,0.10,0.00,12.6
2007-02-07,7.4,11067.00,1.90,1.90,0.00,14.7
2007-02-08,6.5,24160.39,3.00,3.00,0.00,15.6
2007-02-09,5.2,15979.62,4.30,4.30,0.00,12.9
2007-02-10,7.0,30226.60,0.90,0.90,0.00,13.0
2007-02-11,6.3,23427.34,5.80,5.80,0.00,19.4
2007-02-12,6.4,26236.01,0.20,0.20,0.00,19.5
2007-02-13,4.6,15359.32,1.70,1.70,0.00,8.2
2007-02-14,4.6,1372.90,10.90,10.90,0.00,18.7
2007-02-15,7.4,202.45,17.50,17.50,0.00,29.7
2007-02-16,6.9,10440.31,4.50,4.50,0.00,11.8
2007-02-17,9.3,34369.97,3.50,3.50,0.00,21.3
2007-02-18,4.7,24272.20,7.90,7.90,0.00,22.0
2007-02-19,4.8,0.00,20.90,20.90,0.00,29.9
2007-02-20,3.8,32515.16,11.00,11.00,0.00,29.2
2007-02-21,3.8,35440.00,1.60,1.40,0.14,20.1
2007-02-22,3.4,33994.37,2.50,2.40,0.07,15.0
2007-02-23,2.4,32310.12,1.50,1.40,0.07,19.1
2007-02-24,1.7,3650.41,14.10,11.90,1.54,17.9
2007-02-25,2.7,5786.26,8.10,8.10,0.00,16.5
2007-02-26,2.8,32447.46,1.20,1.20,0.00,24.5
2007-02-27,1.3,16871.86,0.50,0.50,0.00,11.5
2007-02-28,0.6,25783.06,11.90,5.30,4.62,12.6
2007-03-01,-0.4,38895.14,1.20,0.20,0.77,9.4
2007-03-02,1.0,0.00,5.20,4.60,0.49,15.5
2007-03-03,5.5,767.99,3.40,3.40,0.00,14.1
2007-03-04,7.4,23904.36,0.10,0.10,0.00,10.2
2007-03-05,8.3,23088.97,0.20,0.20,0.00,13.7
2007-03-06,9.8,39327.04,0.00,0.00,0.00,13.5
2007-03-07,8.1,25090.66,8.10,8.10,0.00,20.3
2007-03-08,5.0,1247.87,7.90,7.90,0.00,23.8
2007-03-09,7.0,23815.20,2.30,2.30,0.00,20.4
2007-03-10,8.6,0.00,15.30,15.30,0.00,19.5
2007-03-11,10.7,12253.84,31.50,31.50,0.00,29.2
2007-03-12,7.2,31417.79,14.80,14.80,0.00,29.3
2007-03-13,4.1,39095.92,3.40,3.40,0.00,21.4
2007-03-14,3.7,40380.20,6.10,5.90,0.14,19.2
2007-03-15,3.1,16534.46,2.40,2.40,0.00,10.8
2007-03-16,9.0,29484.31,0.40,0.40,0.00,13.1
2007-03-17,7.8,3333.01,12.10,12.10,0.00,16.2
2007-03-18,9.3,21366.11,4.10,4.10,0.00,10.7
2007-03-19,7.9,0.00,7.20,7.20,0.00,24.5
2007-03-20,4.6,36615.99,11.70,11.70,0.00,27.4
2007-03-21,4.3,29882.39,0.00,0.00,0.00,17.7
2007-03-22,6.0,0.00,9.40,9.40,0.00,21.0
2007-03-23,7.4,0.00,16.80,16.80,0.00,24.2
2007-03-24,8.7,0.00,30.90,30.90,0.00,24.6
2007-03-25,6.3,40392.66,10.10,10.10,0.00,15.5
2007-03-26,6.3,42038.14,0.00,0.00,0.00,10.0
2007-03-27,6.1,41134.44,2.20,2.20,0.00,13.0
2007-03-28,5.5,43685.56,0.00,0.00,0.00,9.0
2007-03-29,7.8,42504.04,0.00,0.00,0.00,7.6
2007-03-30,8.0,29562.72,1.10,1.10,0.00,10.7
2007-03-31,6.5,26216.87,3.30,3.30,0.00,10.9
2007-04-01,3.7,43907.53,3.80,3.80,0.00,14.8
2007-04-02,3.3,44208.70,4.40,4.10,0.21,9.2
2007-04-03,4.9,43200.00,0.00,0.00,0.00,17.3
2007-04-04,7.9,30301.09,0.00,0.00,0.00,10.2
2007-04-05,10.7,37563.73,0.00,0.00,0.00,12.8
2007-04-06,13.5,45625.41,0.00,0.00,0.00,11.5
2007-04-07,11.3,29737.60,2.60,2.60,0.00,16.7
2007-04-08,9.7,30998.25,5.50,5.50,0.00,20.9
2007-04-09,6.9,37725.25,10.80,10.80,0.00,25.8
2007-04-10,6.0,45961.61,5.00,5.00,0.00,12.4
2007-04-11,7.4,34641.80,0.00,0.00,0.00,9.3
2007-04-12,7.4,33017.20,0.20,0.20,0.00,16.3
2007-04-13,7.2,0.00,2.50,2.50,0.00,16.3
2007-04-14,7.5,39817.33,9.30,9.30,0.00,18.9
2007-04-15,6.3,46031.96,1.90,1.90,0.00,7.2
2007-04-16,6.2,5599.27,4.90,4.90,0.00,20.2
2007-04-17,6.1,40732.48,7.30,7.30,0.00,15.9
2007-04-18,5.2,45595.76,3.10,3.10,0.00,10.6
2007-04-19,5.7,43045.52,0.60,0.60,0.00,9.6
2007-04-20,6.4,49433.16,0.00,0.00,0.00,9.0
2007-04-21,7.0,23039.18,1.30,1.30,0.00,10.0
2007-04-22,9.1,47141.28,1.10,1.10,0.00,12.4
2007-04-23,9.4,49626.97,0.00,0.00,0.00,9.6
2007-04-24,8.6,7092.80,3.10,3.10,0.00,15.9
2007-04-25,8.4,27875.39,2.80,2.80,0.00,15.6
2007-04-26,8.8,7344.72,2.40,2.40,0.00,17.7
2007-04-27,10.1,2004.18,3.80,3.80,0.00,19.4
2007-04-28,9.4,39493.84,5.20,5.20,0.00,13.7
2007-04-29,8.4,39881.69,0.20,0.20,0.00,12.6
2007-04-30,8.9,32670.38,0.60,0.60,0.00,7.5
2007-05-01,7.8,7285.04,4.10,4.10,0.00,9.4
2007-05-02,8.7,43815.88,5.80,5.80,0.00,21.2
2007-05-03,7.1,49831.98,2.00,2.00,0.00,16.2
2007-05-04,6.6,49355.23,4.40,4.40,0.00,10.2
2007-05-05,8.2,49475.94,0.00,0.00,0.00,10.9
2007-05-06,9.5,5869.90,0.00,0.00,0.00,11.2
2007-05-07,13.7,42339.01,0.00,0.00,0.00,9.0
2007-05-08,13.2,50400.00,0.80,0.80,0.00,18.4
2007-05-09,9.8,50743.94,0.00,0.00,0.00,14.0
2007-05-10,10.4,50707.40,0.00,0.00,0.00,10.1
2007-05-11,10.8,46800.00,0.00,0.00,0.00,16.5
2007-05-12,11.2,50400.00,0.80,0.80,0.00,16.6
2007-05-13,8.8,39664.56,3.40,3.40,0.00,17.1
2007-05-14,10.5,48560.20,0.00,0.00,0.00,15.6
2007-05-15,15.6,50608.50,0.00,0.00,0.00,9.4
2007-05-16,12.3,49469.53,0.00,0.00,0.00,11.7
2007-05-17,11.1,41885.66,0.00,0.00,0.00,9.6
2007-05-18,12.6,47829.09,0.50,0.50,0.00,13.0
2007-05-19,10.6,48817.67,0.80,0.80,0.00,22.3
2007-05-20,8.8,6769.32,14.70,14.70,0.00,18.4
2007-05-21,8.7,19030.28,3.30,3.30,0.00,8.1
2007-05-22,10.9,48580.80,0.10,0.10,0.00,6.5
2007-05-23,11.5,50219.41,0.00,0.00,0.00,8.8
2007-05-24,12.9,54039.23,0.00,0.00,0.00,12.9
2007-05-25,14.8,50931.11,0.00,0.00,0.00,7.6
2007-05-26,13.7,41164.02,0.30,0.30,0.00,10.9
2007-05-27,10.6,45635.06,6.10,6.10,0.00,9.7
2007-05-28,10.5,50338.13,0.00,0.00,0.00,7.9
2007-05-29,14.5,55046.92,0.00,0.00,0.00,15.7
2007-05-30,17.4,55090.97,0.00,0.00,0.00,11.8
2007-05-31,17.4,53661.17,0.00,0.00,0.00,11.3
2007-06-01,17.7,53228.46,0.00,0.00,0.00,11.9
2007-06-02,18.5,53596.00,0.00,0.00,0.00,13.0
2007-06-03,20.4,51402.68,0.00,0.00,0.00,7.6
2007-06-04,16.4,28425.41,1.00,1.00,0.00,14.1
2007-06-05,12.0,34663.02,10.10,10.10,0.00,14.4
2007-06-06,9.7,31151.24,3.50,3.50,0.00,12.7
2007-06-07,11.0,5332.40,0.40,0.40,0.00,8.7
2007-06-08,13.0,51556.71,0.00,0.00,0.00,7.2
2007-06-09,11.8,2665.06,11.00,11.00,0.00,20.5
2007-06-10,12.2,46873.71,2.60,2.60,0.00,21.3
2007-06-11,10.8,47523.53,3.50,3.50,0.00,12.1
2007-06-12,12.7,46849.87,0.00,0.00,0.00,5.4
2007-06-13,13.2,23966.78,0.70,0.70,0.00,17.4
2007-06-14,12.1,29505.05,1.20,1.20,0.00,10.0
2007-06-15,11.7,34367.38,2.70,2.70,0.00,6.3
2007-06-16,12.3,40745.14,2.10,2.10,0.00,10.9
2007-06-17,11.7,4308.12,3.50,3.50,0.00,12.7
2007-06-18,11.4,43027.28,2.10,2.10,0.00,8.8
2007-06-19,14.9,51491.93,0.00,0.00,0.00,8.0
2007-06-20,17.6,56379.16,0.00,0.00,0.00,10.6
2007-06-21,15.6,46028.29,0.00,0.00,0.00,17.3
2007-06-22,13.9,41442.15,1.80,1.80,0.00,13.0
2007-06-23,13.1,53913.91,0.00,0.00,0.00,11.5
2007-06-24,11.5,48417.68,9.80,9.80,0.00,19.6
2007-06-25,12.2,53364.65,0.50,0.50,0.00,11.4
2007-06-26,16.0,53479.55,0.00,0.00,0.00,16.5
2007-06-27,15.8,36931.06,0.00,0.00,0.00,9.0
2007-06-28,16.0,39111.99,3.70,3.70,0.00,13.6
2007-06-29,14.3,50019.37,8.00,8.00,0.00,18.5
2007-06-30,14.4,55255.60,0.00,0.00,0.00,13.1
2007-07-01,16.1,41815.76,0.00,0.00,0.00,7.6
2007-07-02,17.4,55284.70,0.00,0.00,0.00,11.7
2007-07-03,18.8,55300.76,0.00,0.00,0.00,14.4
2007-07-04,19.5,55317.75,0.00,0.00,0.00,12.4
2007-07-05,19.3,54525.20,0.00,0.00,0.00,15.3
2007-07-06,18.2,54545.12,0.00,0.00,0.00,17.4
2007-07-07,18.2,54857.65,0.00,0.00,0.00,10.4
2007-07-08,16.4,54587.59,0.00,0.00,0.00,12.1
2007-07-09,18.1,54610.04,0.00,0.00,0.00,19.7
2007-07-10,22.0,55035.34,0.00,0.00,0.00,22.3
2007-07-11,24.6,54626.11,0.00,0.00,0.00,18.7
2007-07-12,21.8,53361.19,0.00,0.00,0.00,18.2
2007-07-13,20.8,54194.04,0.00,0.00,0.00,10.4
2007-07-14,21.8,50400.00,0.00,0.00,0.00,7.2
2007-07-15,20.1,51832.49,0.00,0.00,0.00,15.2
2007-07-16,19.6,39209.10,0.00,0.00,0.00,9.4
2007-07-17,17.9,22503.24,5.40,5.40,0.00,7.2
2007-07-18,15.6,7400.76,9.10,9.10,0.00,14.2
2007-07-19,16.8,53587.23,1.50,1.50,0.00,17.9
2007-07-20,15.1,369.48,5.10,5.10,0.00,16.9
2007-07-21,16.8,4204.66,7.50,7.50,0.00,14.9
2007-07-22,17.1,5732.61,13.90,13.90,0.00,16.3
2007-07-23,16.4,1077.10,10.40,10.40,0.00,10.5
2007-07-24,15.2,50229.58,1.40,1.40,0.00,12.4
2007-07-25,16.2,53204.94,0.00,0.00,0.00,13.2
2007-07-26,17.2,53133.22,0.00,0.00,0.00,6.0
2007-07-27,17.8,51758.13,0.00,0.00,0.00,7.3
2007-07-28,17.8,49480.90,0.00,0.00,0.00,12.3
2007-07-29,16.0,38721.14,1.70,1.70,0.00,18.5
2007-07-30,15.3,52826.79,0.00,0.00,0.00,11.6
2007-07-31,16.2,52745.72,0.00,0.00,0.00,16.8
2007-08-01,18.3,52643.49,0.00,0.00,0.00,14.8
2007-08-02,19.4,52302.53,0.00,0.00,0.00,8.1
2007-08-03,16.1,28568.54,0.30,0.30,0.00,5.9
2007-08-04,16.7,47379.48,0.00,0.00,0.00,6.8
2007-08-05,17.7,51296.16,0.00,0.00,0.00,11.4
2007-08-06,17.1,42511.36,0.00,0.00,0.00,12.2
2007-08-07,15.6,4052.91,1.80,1.80,0.00,15.5
2007-08-08,16.0,42447.71,4.30,4.30,0.00,8.4
2007-08-09,15.1,28876.67,0.00,0.00,0.00,6.6
2007-08-10,15.1,48358.57,0.50,0.50,0.00,7.3
2007-08-11,15.3,48622.43,0.00,0.00,0.00,12.7
2007-08-12,15.2,13351.34,0.30,0.30,0.00,5.9
2007-08-13,15.9,49989.79,0.00,0.00,0.00,15.1
2007-08-14,17.7,49911.27,0.00,0.00,0.00,15.0
2007-08-15,19.6,49832.40,0.00,0.00,0.00,14.4
2007-08-16,17.2,37064.68,0.20,0.20,0.00,17.3
2007-08-17,16.5,46073.86,0.00,0.00,0.00,15.0
2007-08-18,15.8,33046.70,1.00,1.00,0.00,9.9
2007-08-19,13.9,26597.67,12.70,12.70,0.00,10.3
2007-08-20,15.1,25146.08,2.00,2.00,0.00,10.5
2007-08-21,16.7,36379.27,2.50,2.50,0.00,8.9
2007-08-22,16.3,44628.19,0.00,0.00,0.00,9.2
2007-08-23,16.6,48419.07,0.00,0.00,0.00,10.0
2007-08-24,17.3,49098.13,0.00,0.00,0.00,9.3
2007-08-25,15.2,22398.07,4.50,4.50,0.00,10.1
2007-08-26,13.8,46557.98,5.10,5.10,0.00,9.0
2007-08-27,14.1,47502.70,0.00,0.00,0.00,10.6
2007-08-28,15.4,47425.39,0.00,0.00,0.00,13.2
2007-08-29,17.9,47348.03,0.00,0.00,0.00,15.1
2007-08-30,19.2,46922.39,0.00,0.00,0.00,12.7
2007-08-31,15.4,15039.30,0.00,0.00,0.00,11.4
2007-09-01,15.6,46070.92,0.00,0.00,0.00,14.3
2007-09-02,17.2,35192.70,0.00,0.00,0.00,12.6
2007-09-03,17.7,39522.94,0.00,0.00,0.00,11.8
2007-09-04,16.5,37001.43,0.00,0.00,0.00,10.8
2007-09-05,17.0,42095.93,0.00,0.00,0.00,10.8
2007-09-06,15.8,36557.37,0.00,0.00,0.00,10.7
2007-09-07,14.2,44624.52,0.00,0.00,0.00,12.2
2007-09-08,14.3,44340.90,0.00,0.00,0.00,18.5
2007-09-09,15.8,44058.31,0.00,0.00,0.00,20.5
2007-09-10,17.5,43776.51,0.00,0.00,0.00,15.3
2007-09-11,18.4,43495.49,0.00,0.00,0.00,7.1
2007-09-12,16.8,43215.02,0.00,0.00,0.00,9.7
2007-09-13,16.7,43276.09,0.00,0.00,0.00,12.7
2007-09-14,15.1,32275.86,0.00,0.00,0.00,12.4
2007-09-15,14.6,29594.72,0.00,0.00,0.00,8.6
2007-09-16,12.3,0.00,5.60,5.60,0.00,7.8
2007-09-17,12.2,11742.53,5.40,5.40,0.00,7.8
2007-09-18,11.3,40520.30,1.00,1.00,0.00,12.8
2007-09-19,11.2,43200.00,0.10,0.10,0.00,17.1
2007-09-20,11.0,18676.73,0.00,0.00,0.00,10.2
2007-09-21,13.0,43200.00,0.00,0.00,0.00,9.2
2007-09-22,11.3,43191.51,3.10,3.10,0.00,10.7
2007-09-23,10.7,43105.20,0.00,0.00,0.00,8.4
2007-09-24,11.1,42899.59,0.00,0.00,0.00,8.7
2007-09-25,11.6,16172.69,0.90,0.90,0.00,9.3
2007-09-26,12.1,42487.12,0.00,0.00,0.00,11.3
2007-09-27,11.9,7245.13,14.00,14.00,0.00,15.2
2007-09-28,9.1,38224.18,11.70,11.70,0.00,15.2
2007-09-29,9.0,17964.73,4.20,4.20,0.00,21.1
2007-09-30,9.2,11.09,27.40,27.40,0.00,21.5
2007-10-01,10.7,31296.38,5.80,5.80,0.00,21.6
2007-10-02,10.1,57.86,27.30,27.30,0.00,28.9
2007-10-03,8.3,36924.50,10.90,10.90,0.00,20.0
2007-10-04,8.1,36507.09,1.20,1.20,0.00,14.8
2007-10-05,7.3,37362.18,0.00,0.00,0.00,11.5
2007-10-06,8.2,6314.24,5.10,5.10,0.00,21.0
2007-10-07,10.9,93.70,17.00,17.00,0.00,27.7
2007-10-08,8.2,22806.54,0.40,0.40,0.00,11.9
2007-10-09,12.7,10791.55,1.70,1.70,0.00,12.0
2007-10-10,11.2,24856.12,4.80,4.80,0.00,14.8
2007-10-11,9.8,25132.34,0.00,0.00,0.00,13.9
2007-10-12,9.7,36134.12,0.00,0.00,0.00,10.9
2007-10-13,8.8,36238.62,0.00,0.00,0.00,8.2
2007-10-14,10.7,36178.30,0.00,0.00,0.00,8.2
2007-10-15,10.5,4942.57,3.70,3.70,0.00,25.3
2007-10-16,8.8,17718.33,2.50,2.50,0.00,25.2
2007-10-17,7.4,31531.29,4.90,4.90,0.00,19.2
2007-10-18,8.3,15763.52,13.20,13.20,0.00,39.8
2007-10-19,8.5,30919.80,11.40,11.40,0.00,26.7
2007-10-20,7.6,26366.58,5.00,5.00,0.00,22.4
2007-10-21,8.6,4359.93,6.30,6.30,0.00,20.6
2007-10-22,11.1,21719.65,4.50,4.50,0.00,21.8
2007-10-23,13.1,36000.00,0.00,0.00,0.00,15.9
2007-10-24,9.7,6228.28,16.90,16.90,0.00,16.9
2007-10-25,5.5,35855.71,0.00,0.00,0.00,11.6
2007-10-26,4.8,35753.16,0.00,0.00,0.00,16.4
2007-10-27,5.7,30410.89,0.00,0.00,0.00,9.4
2007-10-28,7.4,34902.24,0.00,0.00,0.00,12.3
2007-10-29,7.9,10091.59,0.00,0.00,0.00,13.3
2007-10-30,5.9,35360.62,0.00,0.00,0.00,9.9
2007-10-31,4.9,14725.18,0.00,0.00,0.00,10.6
2007-11-01,6.0,30472.67,0.00,0.00,0.00,12.1
2007-11-02,4.0,31476.87,0.00,0.00,0.00,11.8
2007-11-03,8.3,11033.96,4.50,4.50,0.00,17.3
2007-11-04,9.1,25659.18,3.40,3.40,0.00,18.4
2007-11-05,6.2,34559.77,0.00,0.00,0.00,13.1
2007-11-06,6.5,30458.95,0.00,0.00,0.00,7.2
2007-11-07,8.3,10291.42,1.20,1.20,0.00,7.4
2007-11-08,9.3,2892.45,2.10,2.10,0.00,16.6
2007-11-09,9.6,18450.21,6.80,6.80,0.00,26.7
2007-11-10,8.2,32246.75,11.40,11.40,0.00,29.9
2007-11-11,7.2,13188.52,1.30,1.30,0.00,24.9
2007-11-12,6.8,2468.82,14.50,14.50,0.00,38.8
2007-11-13,5.4,29755.35,3.70,3.70,0.00,14.2
2007-11-14,4.3,1551.01,2.30,2.30,0.00,21.2
2007-11-15,8.8,0.00,16.20,16.20,0.00,27.3
2007-11-16,8.4,26178.82,7.40,7.40,0.00,28.3
2007-11-17,6.7,1946.02,9.50,9.50,0.00,13.4
2007-11-18,4.9,979.26,1.60,1.60,0.00,13.2
2007-11-19,3.7,14689.05,2.10,2.10,0.00,14.4
2007-11-20,3.4,29156.71,0.10,0.10,0.00,9.5
2007-11-21,1.8,30442.25,0.00,0.00,0.00,12.4
2007-11-22,0.8,30117.44,0.00,0.00,0.00,10.5
2007-11-23,1.1,29954.39,0.00,0.00,0.00,9.9
2007-11-24,2.5,25327.48,0.00,0.00,0.00,10.7
2007-11-25,2.5,28828.32,0.00,0.00,0.00,9.7
2007-11-26,1.2,0.00,11.60,7.20,3.08,27.8
2007-11-27,2.6,28800.00,0.70,0.70,0.00,12.7
2007-11-28,2.5,0.00,4.30,4.30,0.00,12.5
2007-11-29,1.4,27265.46,0.00,0.00,0.00,10.1
2007-11-30,0.3,28800.00,0.00,0.00,0.00,11.8
2007-12-01,0.0,14908.60,6.20,3.10,2.31,25.7
2007-12-02,3.0,1785.08,31.40,27.20,2.94,33.6
2007-12-03,9.8,1132.61,65.00,65.00,0.00,36.7
2007-12-04,9.7,21625.83,9.60,9.60,0.00,34.6
2007-12-05,6.1,22003.55,2.00,2.00,0.00,20.2
2007-12-06,2.4,28800.00,0.10,0.10,0.00,14.4
2007-12-07,2.3,28800.00,0.00,0.00,0.00,11.3
2007-12-08,0.3,27276.25,0.00,0.00,0.00,14.1
2007-12-09,-0.2,434.78,0.40,0.20,0.14,10.7
